"binxs","binys","binfreq","BinSize","BinningType"
1.5,21.5,33,"1 X 1 Unit","Standard"
1.5,23.5,46,"1 X 1 Unit","Standard"
1.5,25.5,41,"1 X 1 Unit","Standard"
1.5,27.5,35,"1 X 1 Unit","Standard"
1.5,29.5,48,"1 X 1 Unit","Standard"
1.5,31.5,41,"1 X 1 Unit","Standard"
1.5,33.5,46,"1 X 1 Unit","Standard"
1.5,35.5,36,"1 X 1 Unit","Standard"
1.5,37.5,41,"1 X 1 Unit","Standard"
1.5,39.5,32,"1 X 1 Unit","Standard"
1.5,41.5,41,"1 X 1 Unit","Standard"
1.5,43.5,34,"1 X 1 Unit","Standard"
1.5,45.5,36,"1 X 1 Unit","Standard"
1.5,47.5,46,"1 X 1 Unit","Standard"
1.5,49.5,46,"1 X 1 Unit","Standard"
1.5,51.5,39,"1 X 1 Unit","Standard"
1.5,53.5,38,"1 X 1 Unit","Standard"
1.5,55.5,38,"1 X 1 Unit","Standard"
1.5,57.5,40,"1 X 1 Unit","Standard"
1.5,59.5,42,"1 X 1 Unit","Standard"
1.5,61.5,38,"1 X 1 Unit","Standard"
1.5,63.5,37,"1 X 1 Unit","Standard"
1.5,65.5,36,"1 X 1 Unit","Standard"
1.5,67.5,44,"1 X 1 Unit","Standard"
1.5,69.5,33,"1 X 1 Unit","Standard"
1.5,71.5,44,"1 X 1 Unit","Standard"
1.5,73.5,36,"1 X 1 Unit","Standard"
1.5,75.5,39,"1 X 1 Unit","Standard"
1.5,77.5,41,"1 X 1 Unit","Standard"
1.5,79.5,38,"1 X 1 Unit","Standard"
1.5,81.5,43,"1 X 1 Unit","Standard"
1.5,83.5,50,"1 X 1 Unit","Standard"
1.5,85.5,46,"1 X 1 Unit","Standard"
1.5,87.5,46,"1 X 1 Unit","Standard"
1.5,89.5,44,"1 X 1 Unit","Standard"
1.5,91.5,40,"1 X 1 Unit","Standard"
1.5,93.5,32,"1 X 1 Unit","Standard"
1.5,95.5,45,"1 X 1 Unit","Standard"
1.5,97.5,48,"1 X 1 Unit","Standard"
1.5,99.5,20,"1 X 1 Unit","Standard"
3.5,0.5,25,"1 X 1 Unit","Standard"
3.5,1.5,41,"1 X 1 Unit","Standard"
3.5,3.5,43,"1 X 1 Unit","Standard"
3.5,5.5,40,"1 X 1 Unit","Standard"
3.5,7.5,27,"1 X 1 Unit","Standard"
3.5,9.5,36,"1 X 1 Unit","Standard"
3.5,11.5,31,"1 X 1 Unit","Standard"
3.5,13.5,38,"1 X 1 Unit","Standard"
3.5,15.5,50,"1 X 1 Unit","Standard"
3.5,17.5,43,"1 X 1 Unit","Standard"
3.5,19.5,34,"1 X 1 Unit","Standard"
3.5,21.5,23,"1 X 1 Unit","Standard"
3.5,23.5,47,"1 X 1 Unit","Standard"
3.5,25.5,37,"1 X 1 Unit","Standard"
3.5,27.5,38,"1 X 1 Unit","Standard"
3.5,29.5,33,"1 X 1 Unit","Standard"
3.5,31.5,45,"1 X 1 Unit","Standard"
3.5,33.5,32,"1 X 1 Unit","Standard"
3.5,35.5,48,"1 X 1 Unit","Standard"
3.5,37.5,42,"1 X 1 Unit","Standard"
3.5,39.5,30,"1 X 1 Unit","Standard"
3.5,41.5,37,"1 X 1 Unit","Standard"
3.5,43.5,42,"1 X 1 Unit","Standard"
3.5,45.5,45,"1 X 1 Unit","Standard"
3.5,47.5,34,"1 X 1 Unit","Standard"
3.5,49.5,44,"1 X 1 Unit","Standard"
3.5,51.5,39,"1 X 1 Unit","Standard"
3.5,53.5,38,"1 X 1 Unit","Standard"
3.5,55.5,36,"1 X 1 Unit","Standard"
3.5,57.5,23,"1 X 1 Unit","Standard"
3.5,59.5,33,"1 X 1 Unit","Standard"
3.5,61.5,43,"1 X 1 Unit","Standard"
3.5,63.5,43,"1 X 1 Unit","Standard"
3.5,65.5,48,"1 X 1 Unit","Standard"
3.5,67.5,51,"1 X 1 Unit","Standard"
3.5,69.5,41,"1 X 1 Unit","Standard"
3.5,71.5,40,"1 X 1 Unit","Standard"
3.5,73.5,46,"1 X 1 Unit","Standard"
3.5,75.5,40,"1 X 1 Unit","Standard"
3.5,77.5,39,"1 X 1 Unit","Standard"
3.5,79.5,50,"1 X 1 Unit","Standard"
3.5,81.5,37,"1 X 1 Unit","Standard"
3.5,83.5,38,"1 X 1 Unit","Standard"
3.5,85.5,39,"1 X 1 Unit","Standard"
3.5,87.5,40,"1 X 1 Unit","Standard"
3.5,89.5,44,"1 X 1 Unit","Standard"
3.5,91.5,47,"1 X 1 Unit","Standard"
3.5,93.5,22,"1 X 1 Unit","Standard"
3.5,95.5,41,"1 X 1 Unit","Standard"
3.5,97.5,41,"1 X 1 Unit","Standard"
3.5,99.5,20,"1 X 1 Unit","Standard"
5.5,0.5,17,"1 X 1 Unit","Standard"
5.5,1.5,37,"1 X 1 Unit","Standard"
5.5,3.5,43,"1 X 1 Unit","Standard"
5.5,5.5,40,"1 X 1 Unit","Standard"
5.5,7.5,40,"1 X 1 Unit","Standard"
5.5,9.5,43,"1 X 1 Unit","Standard"
5.5,11.5,46,"1 X 1 Unit","Standard"
5.5,13.5,35,"1 X 1 Unit","Standard"
5.5,15.5,43,"1 X 1 Unit","Standard"
5.5,17.5,37,"1 X 1 Unit","Standard"
5.5,19.5,41,"1 X 1 Unit","Standard"
5.5,21.5,40,"1 X 1 Unit","Standard"
5.5,23.5,44,"1 X 1 Unit","Standard"
5.5,25.5,42,"1 X 1 Unit","Standard"
5.5,27.5,41,"1 X 1 Unit","Standard"
5.5,29.5,39,"1 X 1 Unit","Standard"
5.5,31.5,38,"1 X 1 Unit","Standard"
5.5,33.5,42,"1 X 1 Unit","Standard"
5.5,35.5,55,"1 X 1 Unit","Standard"
5.5,37.5,34,"1 X 1 Unit","Standard"
5.5,39.5,40,"1 X 1 Unit","Standard"
5.5,41.5,33,"1 X 1 Unit","Standard"
5.5,43.5,52,"1 X 1 Unit","Standard"
5.5,45.5,49,"1 X 1 Unit","Standard"
5.5,47.5,45,"1 X 1 Unit","Standard"
5.5,49.5,44,"1 X 1 Unit","Standard"
5.5,51.5,40,"1 X 1 Unit","Standard"
5.5,53.5,37,"1 X 1 Unit","Standard"
5.5,55.5,34,"1 X 1 Unit","Standard"
5.5,57.5,31,"1 X 1 Unit","Standard"
5.5,59.5,44,"1 X 1 Unit","Standard"
5.5,61.5,44,"1 X 1 Unit","Standard"
5.5,63.5,40,"1 X 1 Unit","Standard"
5.5,65.5,35,"1 X 1 Unit","Standard"
5.5,67.5,38,"1 X 1 Unit","Standard"
5.5,69.5,40,"1 X 1 Unit","Standard"
5.5,71.5,49,"1 X 1 Unit","Standard"
5.5,73.5,49,"1 X 1 Unit","Standard"
5.5,75.5,38,"1 X 1 Unit","Standard"
5.5,77.5,49,"1 X 1 Unit","Standard"
5.5,79.5,37,"1 X 1 Unit","Standard"
5.5,81.5,39,"1 X 1 Unit","Standard"
5.5,83.5,39,"1 X 1 Unit","Standard"
5.5,85.5,21,"1 X 1 Unit","Standard"
5.5,87.5,40,"1 X 1 Unit","Standard"
5.5,89.5,51,"1 X 1 Unit","Standard"
5.5,91.5,37,"1 X 1 Unit","Standard"
5.5,93.5,35,"1 X 1 Unit","Standard"
5.5,95.5,30,"1 X 1 Unit","Standard"
5.5,97.5,42,"1 X 1 Unit","Standard"
5.5,99.5,18,"1 X 1 Unit","Standard"
7.5,0.5,21,"1 X 1 Unit","Standard"
7.5,1.5,36,"1 X 1 Unit","Standard"
7.5,3.5,39,"1 X 1 Unit","Standard"
7.5,5.5,48,"1 X 1 Unit","Standard"
7.5,7.5,43,"1 X 1 Unit","Standard"
7.5,9.5,45,"1 X 1 Unit","Standard"
7.5,11.5,36,"1 X 1 Unit","Standard"
7.5,13.5,49,"1 X 1 Unit","Standard"
7.5,15.5,41,"1 X 1 Unit","Standard"
7.5,17.5,40,"1 X 1 Unit","Standard"
7.5,19.5,47,"1 X 1 Unit","Standard"
7.5,21.5,28,"1 X 1 Unit","Standard"
7.5,23.5,44,"1 X 1 Unit","Standard"
7.5,25.5,47,"1 X 1 Unit","Standard"
7.5,27.5,46,"1 X 1 Unit","Standard"
7.5,29.5,35,"1 X 1 Unit","Standard"
7.5,31.5,43,"1 X 1 Unit","Standard"
7.5,33.5,39,"1 X 1 Unit","Standard"
7.5,35.5,42,"1 X 1 Unit","Standard"
7.5,37.5,38,"1 X 1 Unit","Standard"
7.5,39.5,45,"1 X 1 Unit","Standard"
7.5,41.5,40,"1 X 1 Unit","Standard"
7.5,43.5,42,"1 X 1 Unit","Standard"
7.5,45.5,35,"1 X 1 Unit","Standard"
7.5,47.5,44,"1 X 1 Unit","Standard"
7.5,49.5,44,"1 X 1 Unit","Standard"
7.5,51.5,45,"1 X 1 Unit","Standard"
7.5,53.5,46,"1 X 1 Unit","Standard"
7.5,55.5,41,"1 X 1 Unit","Standard"
7.5,57.5,34,"1 X 1 Unit","Standard"
7.5,59.5,40,"1 X 1 Unit","Standard"
7.5,61.5,40,"1 X 1 Unit","Standard"
7.5,63.5,39,"1 X 1 Unit","Standard"
7.5,65.5,41,"1 X 1 Unit","Standard"
7.5,67.5,40,"1 X 1 Unit","Standard"
7.5,69.5,35,"1 X 1 Unit","Standard"
7.5,71.5,36,"1 X 1 Unit","Standard"
7.5,73.5,37,"1 X 1 Unit","Standard"
7.5,75.5,36,"1 X 1 Unit","Standard"
7.5,77.5,31,"1 X 1 Unit","Standard"
7.5,79.5,34,"1 X 1 Unit","Standard"
7.5,81.5,40,"1 X 1 Unit","Standard"
7.5,83.5,40,"1 X 1 Unit","Standard"
7.5,85.5,41,"1 X 1 Unit","Standard"
7.5,87.5,49,"1 X 1 Unit","Standard"
7.5,89.5,37,"1 X 1 Unit","Standard"
7.5,91.5,31,"1 X 1 Unit","Standard"
7.5,93.5,38,"1 X 1 Unit","Standard"
7.5,95.5,42,"1 X 1 Unit","Standard"
7.5,97.5,38,"1 X 1 Unit","Standard"
7.5,99.5,19,"1 X 1 Unit","Standard"
9.5,0.5,15,"1 X 1 Unit","Standard"
9.5,1.5,34,"1 X 1 Unit","Standard"
9.5,3.5,44,"1 X 1 Unit","Standard"
9.5,5.5,40,"1 X 1 Unit","Standard"
9.5,7.5,39,"1 X 1 Unit","Standard"
9.5,9.5,51,"1 X 1 Unit","Standard"
9.5,11.5,44,"1 X 1 Unit","Standard"
9.5,13.5,43,"1 X 1 Unit","Standard"
9.5,15.5,42,"1 X 1 Unit","Standard"
9.5,17.5,61,"1 X 1 Unit","Standard"
9.5,19.5,40,"1 X 1 Unit","Standard"
9.5,21.5,48,"1 X 1 Unit","Standard"
9.5,23.5,40,"1 X 1 Unit","Standard"
9.5,25.5,40,"1 X 1 Unit","Standard"
9.5,27.5,41,"1 X 1 Unit","Standard"
9.5,29.5,45,"1 X 1 Unit","Standard"
9.5,31.5,59,"1 X 1 Unit","Standard"
9.5,33.5,33,"1 X 1 Unit","Standard"
9.5,35.5,38,"1 X 1 Unit","Standard"
9.5,37.5,38,"1 X 1 Unit","Standard"
9.5,39.5,43,"1 X 1 Unit","Standard"
9.5,41.5,34,"1 X 1 Unit","Standard"
9.5,43.5,34,"1 X 1 Unit","Standard"
9.5,45.5,33,"1 X 1 Unit","Standard"
9.5,47.5,45,"1 X 1 Unit","Standard"
9.5,49.5,48,"1 X 1 Unit","Standard"
9.5,51.5,37,"1 X 1 Unit","Standard"
9.5,53.5,28,"1 X 1 Unit","Standard"
9.5,55.5,40,"1 X 1 Unit","Standard"
9.5,57.5,48,"1 X 1 Unit","Standard"
9.5,59.5,28,"1 X 1 Unit","Standard"
9.5,61.5,41,"1 X 1 Unit","Standard"
9.5,63.5,39,"1 X 1 Unit","Standard"
9.5,65.5,34,"1 X 1 Unit","Standard"
9.5,67.5,31,"1 X 1 Unit","Standard"
9.5,69.5,50,"1 X 1 Unit","Standard"
9.5,71.5,33,"1 X 1 Unit","Standard"
9.5,73.5,40,"1 X 1 Unit","Standard"
9.5,75.5,35,"1 X 1 Unit","Standard"
9.5,77.5,54,"1 X 1 Unit","Standard"
9.5,79.5,41,"1 X 1 Unit","Standard"
9.5,81.5,40,"1 X 1 Unit","Standard"
9.5,83.5,49,"1 X 1 Unit","Standard"
9.5,85.5,41,"1 X 1 Unit","Standard"
9.5,87.5,49,"1 X 1 Unit","Standard"
9.5,89.5,40,"1 X 1 Unit","Standard"
9.5,91.5,35,"1 X 1 Unit","Standard"
9.5,93.5,47,"1 X 1 Unit","Standard"
9.5,95.5,39,"1 X 1 Unit","Standard"
9.5,97.5,44,"1 X 1 Unit","Standard"
9.5,99.5,21,"1 X 1 Unit","Standard"
11.5,0.5,13,"1 X 1 Unit","Standard"
11.5,1.5,38,"1 X 1 Unit","Standard"
11.5,3.5,35,"1 X 1 Unit","Standard"
11.5,5.5,43,"1 X 1 Unit","Standard"
11.5,7.5,45,"1 X 1 Unit","Standard"
11.5,9.5,40,"1 X 1 Unit","Standard"
11.5,11.5,31,"1 X 1 Unit","Standard"
11.5,13.5,41,"1 X 1 Unit","Standard"
11.5,15.5,33,"1 X 1 Unit","Standard"
11.5,17.5,44,"1 X 1 Unit","Standard"
11.5,19.5,43,"1 X 1 Unit","Standard"
11.5,21.5,40,"1 X 1 Unit","Standard"
11.5,23.5,45,"1 X 1 Unit","Standard"
11.5,25.5,33,"1 X 1 Unit","Standard"
11.5,27.5,26,"1 X 1 Unit","Standard"
11.5,29.5,39,"1 X 1 Unit","Standard"
11.5,31.5,41,"1 X 1 Unit","Standard"
11.5,33.5,36,"1 X 1 Unit","Standard"
11.5,35.5,33,"1 X 1 Unit","Standard"
11.5,37.5,47,"1 X 1 Unit","Standard"
11.5,39.5,49,"1 X 1 Unit","Standard"
11.5,41.5,44,"1 X 1 Unit","Standard"
11.5,43.5,27,"1 X 1 Unit","Standard"
11.5,45.5,42,"1 X 1 Unit","Standard"
11.5,47.5,40,"1 X 1 Unit","Standard"
11.5,49.5,41,"1 X 1 Unit","Standard"
11.5,51.5,33,"1 X 1 Unit","Standard"
11.5,53.5,31,"1 X 1 Unit","Standard"
11.5,55.5,35,"1 X 1 Unit","Standard"
11.5,57.5,44,"1 X 1 Unit","Standard"
11.5,59.5,43,"1 X 1 Unit","Standard"
11.5,61.5,35,"1 X 1 Unit","Standard"
11.5,63.5,27,"1 X 1 Unit","Standard"
11.5,65.5,39,"1 X 1 Unit","Standard"
11.5,67.5,43,"1 X 1 Unit","Standard"
11.5,69.5,50,"1 X 1 Unit","Standard"
11.5,71.5,45,"1 X 1 Unit","Standard"
11.5,73.5,35,"1 X 1 Unit","Standard"
11.5,75.5,39,"1 X 1 Unit","Standard"
11.5,77.5,42,"1 X 1 Unit","Standard"
11.5,79.5,38,"1 X 1 Unit","Standard"
11.5,81.5,39,"1 X 1 Unit","Standard"
11.5,83.5,42,"1 X 1 Unit","Standard"
11.5,85.5,48,"1 X 1 Unit","Standard"
11.5,87.5,38,"1 X 1 Unit","Standard"
11.5,89.5,29,"1 X 1 Unit","Standard"
11.5,91.5,27,"1 X 1 Unit","Standard"
11.5,93.5,45,"1 X 1 Unit","Standard"
11.5,95.5,40,"1 X 1 Unit","Standard"
11.5,97.5,38,"1 X 1 Unit","Standard"
11.5,99.5,23,"1 X 1 Unit","Standard"
13.5,0.5,17,"1 X 1 Unit","Standard"
13.5,1.5,39,"1 X 1 Unit","Standard"
13.5,3.5,47,"1 X 1 Unit","Standard"
13.5,5.5,40,"1 X 1 Unit","Standard"
13.5,7.5,32,"1 X 1 Unit","Standard"
13.5,9.5,40,"1 X 1 Unit","Standard"
13.5,11.5,46,"1 X 1 Unit","Standard"
13.5,13.5,29,"1 X 1 Unit","Standard"
13.5,15.5,49,"1 X 1 Unit","Standard"
13.5,17.5,31,"1 X 1 Unit","Standard"
13.5,19.5,30,"1 X 1 Unit","Standard"
13.5,21.5,52,"1 X 1 Unit","Standard"
13.5,23.5,46,"1 X 1 Unit","Standard"
13.5,25.5,42,"1 X 1 Unit","Standard"
13.5,27.5,37,"1 X 1 Unit","Standard"
13.5,29.5,44,"1 X 1 Unit","Standard"
13.5,31.5,32,"1 X 1 Unit","Standard"
13.5,33.5,37,"1 X 1 Unit","Standard"
13.5,35.5,49,"1 X 1 Unit","Standard"
13.5,37.5,36,"1 X 1 Unit","Standard"
13.5,39.5,35,"1 X 1 Unit","Standard"
13.5,41.5,36,"1 X 1 Unit","Standard"
13.5,43.5,32,"1 X 1 Unit","Standard"
13.5,45.5,38,"1 X 1 Unit","Standard"
13.5,47.5,52,"1 X 1 Unit","Standard"
13.5,49.5,38,"1 X 1 Unit","Standard"
13.5,51.5,47,"1 X 1 Unit","Standard"
13.5,53.5,43,"1 X 1 Unit","Standard"
13.5,55.5,40,"1 X 1 Unit","Standard"
13.5,57.5,41,"1 X 1 Unit","Standard"
13.5,59.5,41,"1 X 1 Unit","Standard"
13.5,61.5,49,"1 X 1 Unit","Standard"
13.5,63.5,35,"1 X 1 Unit","Standard"
13.5,65.5,35,"1 X 1 Unit","Standard"
13.5,67.5,42,"1 X 1 Unit","Standard"
13.5,69.5,36,"1 X 1 Unit","Standard"
13.5,71.5,40,"1 X 1 Unit","Standard"
13.5,73.5,40,"1 X 1 Unit","Standard"
13.5,75.5,30,"1 X 1 Unit","Standard"
13.5,77.5,33,"1 X 1 Unit","Standard"
13.5,79.5,41,"1 X 1 Unit","Standard"
13.5,81.5,37,"1 X 1 Unit","Standard"
13.5,83.5,38,"1 X 1 Unit","Standard"
13.5,85.5,39,"1 X 1 Unit","Standard"
13.5,87.5,42,"1 X 1 Unit","Standard"
13.5,89.5,34,"1 X 1 Unit","Standard"
13.5,91.5,30,"1 X 1 Unit","Standard"
13.5,93.5,31,"1 X 1 Unit","Standard"
13.5,95.5,49,"1 X 1 Unit","Standard"
13.5,97.5,45,"1 X 1 Unit","Standard"
13.5,99.5,23,"1 X 1 Unit","Standard"
15.5,0.5,21,"1 X 1 Unit","Standard"
15.5,1.5,41,"1 X 1 Unit","Standard"
15.5,3.5,40,"1 X 1 Unit","Standard"
15.5,5.5,35,"1 X 1 Unit","Standard"
15.5,7.5,33,"1 X 1 Unit","Standard"
15.5,9.5,43,"1 X 1 Unit","Standard"
15.5,11.5,39,"1 X 1 Unit","Standard"
15.5,13.5,47,"1 X 1 Unit","Standard"
15.5,15.5,45,"1 X 1 Unit","Standard"
15.5,17.5,48,"1 X 1 Unit","Standard"
15.5,19.5,38,"1 X 1 Unit","Standard"
15.5,21.5,45,"1 X 1 Unit","Standard"
15.5,23.5,29,"1 X 1 Unit","Standard"
15.5,25.5,36,"1 X 1 Unit","Standard"
15.5,27.5,36,"1 X 1 Unit","Standard"
15.5,29.5,50,"1 X 1 Unit","Standard"
15.5,31.5,31,"1 X 1 Unit","Standard"
15.5,33.5,43,"1 X 1 Unit","Standard"
15.5,35.5,25,"1 X 1 Unit","Standard"
15.5,37.5,36,"1 X 1 Unit","Standard"
15.5,39.5,38,"1 X 1 Unit","Standard"
15.5,41.5,40,"1 X 1 Unit","Standard"
15.5,43.5,45,"1 X 1 Unit","Standard"
15.5,45.5,41,"1 X 1 Unit","Standard"
15.5,47.5,45,"1 X 1 Unit","Standard"
15.5,49.5,31,"1 X 1 Unit","Standard"
15.5,51.5,39,"1 X 1 Unit","Standard"
15.5,53.5,43,"1 X 1 Unit","Standard"
15.5,55.5,39,"1 X 1 Unit","Standard"
15.5,57.5,51,"1 X 1 Unit","Standard"
15.5,59.5,49,"1 X 1 Unit","Standard"
15.5,61.5,42,"1 X 1 Unit","Standard"
15.5,63.5,30,"1 X 1 Unit","Standard"
15.5,65.5,34,"1 X 1 Unit","Standard"
15.5,67.5,39,"1 X 1 Unit","Standard"
15.5,69.5,41,"1 X 1 Unit","Standard"
15.5,71.5,44,"1 X 1 Unit","Standard"
15.5,73.5,36,"1 X 1 Unit","Standard"
15.5,75.5,44,"1 X 1 Unit","Standard"
15.5,77.5,46,"1 X 1 Unit","Standard"
15.5,79.5,33,"1 X 1 Unit","Standard"
15.5,81.5,34,"1 X 1 Unit","Standard"
15.5,83.5,45,"1 X 1 Unit","Standard"
15.5,85.5,31,"1 X 1 Unit","Standard"
15.5,87.5,35,"1 X 1 Unit","Standard"
15.5,89.5,39,"1 X 1 Unit","Standard"
15.5,91.5,30,"1 X 1 Unit","Standard"
15.5,93.5,42,"1 X 1 Unit","Standard"
15.5,95.5,39,"1 X 1 Unit","Standard"
15.5,97.5,39,"1 X 1 Unit","Standard"
15.5,99.5,23,"1 X 1 Unit","Standard"
17.5,0.5,21,"1 X 1 Unit","Standard"
17.5,1.5,43,"1 X 1 Unit","Standard"
17.5,3.5,38,"1 X 1 Unit","Standard"
17.5,5.5,38,"1 X 1 Unit","Standard"
17.5,7.5,37,"1 X 1 Unit","Standard"
17.5,9.5,48,"1 X 1 Unit","Standard"
17.5,11.5,37,"1 X 1 Unit","Standard"
17.5,13.5,43,"1 X 1 Unit","Standard"
17.5,15.5,40,"1 X 1 Unit","Standard"
17.5,17.5,35,"1 X 1 Unit","Standard"
17.5,19.5,48,"1 X 1 Unit","Standard"
17.5,21.5,39,"1 X 1 Unit","Standard"
17.5,23.5,51,"1 X 1 Unit","Standard"
17.5,25.5,34,"1 X 1 Unit","Standard"
17.5,27.5,45,"1 X 1 Unit","Standard"
17.5,29.5,36,"1 X 1 Unit","Standard"
17.5,31.5,35,"1 X 1 Unit","Standard"
17.5,33.5,44,"1 X 1 Unit","Standard"
17.5,35.5,42,"1 X 1 Unit","Standard"
17.5,37.5,27,"1 X 1 Unit","Standard"
17.5,39.5,47,"1 X 1 Unit","Standard"
17.5,41.5,43,"1 X 1 Unit","Standard"
17.5,43.5,51,"1 X 1 Unit","Standard"
17.5,45.5,41,"1 X 1 Unit","Standard"
17.5,47.5,44,"1 X 1 Unit","Standard"
17.5,49.5,41,"1 X 1 Unit","Standard"
17.5,51.5,49,"1 X 1 Unit","Standard"
17.5,53.5,36,"1 X 1 Unit","Standard"
17.5,55.5,41,"1 X 1 Unit","Standard"
17.5,57.5,37,"1 X 1 Unit","Standard"
17.5,59.5,36,"1 X 1 Unit","Standard"
17.5,61.5,48,"1 X 1 Unit","Standard"
17.5,63.5,38,"1 X 1 Unit","Standard"
17.5,65.5,45,"1 X 1 Unit","Standard"
17.5,67.5,42,"1 X 1 Unit","Standard"
17.5,69.5,36,"1 X 1 Unit","Standard"
17.5,71.5,42,"1 X 1 Unit","Standard"
17.5,73.5,38,"1 X 1 Unit","Standard"
17.5,75.5,36,"1 X 1 Unit","Standard"
17.5,77.5,29,"1 X 1 Unit","Standard"
17.5,79.5,47,"1 X 1 Unit","Standard"
17.5,81.5,59,"1 X 1 Unit","Standard"
17.5,83.5,47,"1 X 1 Unit","Standard"
17.5,85.5,34,"1 X 1 Unit","Standard"
17.5,87.5,49,"1 X 1 Unit","Standard"
17.5,89.5,47,"1 X 1 Unit","Standard"
17.5,91.5,35,"1 X 1 Unit","Standard"
17.5,93.5,29,"1 X 1 Unit","Standard"
17.5,95.5,41,"1 X 1 Unit","Standard"
17.5,97.5,39,"1 X 1 Unit","Standard"
17.5,99.5,14,"1 X 1 Unit","Standard"
19.5,0.5,17,"1 X 1 Unit","Standard"
19.5,1.5,33,"1 X 1 Unit","Standard"
19.5,3.5,37,"1 X 1 Unit","Standard"
19.5,5.5,38,"1 X 1 Unit","Standard"
19.5,7.5,39,"1 X 1 Unit","Standard"
19.5,9.5,49,"1 X 1 Unit","Standard"
19.5,11.5,38,"1 X 1 Unit","Standard"
19.5,13.5,36,"1 X 1 Unit","Standard"
19.5,15.5,40,"1 X 1 Unit","Standard"
19.5,17.5,44,"1 X 1 Unit","Standard"
19.5,19.5,32,"1 X 1 Unit","Standard"
19.5,21.5,34,"1 X 1 Unit","Standard"
19.5,23.5,51,"1 X 1 Unit","Standard"
19.5,25.5,32,"1 X 1 Unit","Standard"
19.5,27.5,31,"1 X 1 Unit","Standard"
19.5,29.5,45,"1 X 1 Unit","Standard"
19.5,31.5,49,"1 X 1 Unit","Standard"
19.5,33.5,45,"1 X 1 Unit","Standard"
19.5,35.5,46,"1 X 1 Unit","Standard"
19.5,37.5,37,"1 X 1 Unit","Standard"
19.5,39.5,38,"1 X 1 Unit","Standard"
19.5,41.5,40,"1 X 1 Unit","Standard"
19.5,43.5,47,"1 X 1 Unit","Standard"
19.5,45.5,48,"1 X 1 Unit","Standard"
19.5,47.5,53,"1 X 1 Unit","Standard"
19.5,49.5,49,"1 X 1 Unit","Standard"
